FMS ID,Supplier Ref,Acc Sales Number,Date,Nett Payment,Total Deductions,Deduction VAT,Gross Payments,Payment Ref
Market,ALL,,Agent,ALL

TSHWANE MARKET,Farmers Trust (Pre)

203451,20026*14720,PRE*BT*382405,2026-05-29,340.00,52.17,7.83,400.00,
,,,Line No,Supplier Ref,Commodity,Delivered,Sold,Sales Total
,,,01,20026*14720,CHERRIES OTHER CLASS 1 LARGE (HALF TRAY 2.5kg),14,2,400.00
,,,,Total Sales: ,,,,400.00

203452,20026*00000,PRE*BT*382410,2026-05-29,1700.00,260.87,39.13,2000.00,
,,,Line No,Supplier Ref,Commodity,Delivered,Sold,Sales Total
,,,01,20026*00000,NECTARINES OTHER CLASS 1 MEDIUM MULTI LAYER TRAYER 11kg,71,40,2000.00
,,,,Total Sales: ,,,,2000.00

JOBURG MKT - TFRESH,Subtropico (Jhb)

203453,14013*14710,JOH*SUB*5644200/1,2026-05-30,4080.00,626.09,93.91,4800.00,
,,,Line No,Supplier Ref,Commodity,Delivered,Sold,Sales Total
,,,01,14013*14710,GRAPES CRIMSON SEEDLESS CLASS 2 NO SIZE (PUNNET 5kg) 10,100,60,4800.00
,,,,Total Sales: ,,,,4800.00

TSHWANE MARKET,Farmers Trust (Pre)

203454,20026*00000,PRE*BT*382861,2026-06-01,1275.00,195.65,29.35,1500.00,
,,,Line No,Supplier Ref,Commodity,Delivered,Sold,Sales Total
,,,01,20026*00000,NECTARINES OTHER CLASS 1 MEDIUM MULTI LAYER TRAYER 11kg,71,25,1500.00
,,,,Total Sales: ,,,,1500.00

203455,20026*14013,PRE*BT*382870,2026-06-01,2261.00,346.96,52.04,2660.00,
,,,Line No,Supplier Ref,Commodity,Delivered,Sold,Sales Total
,,,01,20026*14013,PLUM ANGELINO CLASS 1 MEDIUM STANDARD TRAY 5kg,40,38,2660.00
,,,,Total Sales: ,,,,2660.00

203456,20026*20026,PRE*BT*382875,2026-06-02,540.00,704.35,105.65,1350.00,
,,,Line No,Supplier Ref,Commodity,Delivered,Sold,Sales Total
,,,01,20026*20026,APPLES GOLDEN DELICIOUS CLASS 1 LARGE STANDARD CARTON 12.5kg,30,30,1350.00
,,,,Total Sales: ,,,,1350.00

,GRAND TOTAL,,,,,,,
