FMS ID,Supplier Ref,Acc Sales Number,Date,Nett Payment,Total Deductions,Deduction VAT,Gross Payments,Payment Ref
Market,TSHWANE MARKET,,Agent,Farmers Trust (Pre)

203451,20026*14720,PRE*BT*382860,2026-06-03,170.00,26.09,3.91,200.00,
,,,Line No,Supplier Ref,Commodity,Delivered,Sold,Sales Total
,,,01,20026*14720,CHERRIES OTHER CLASS 1 LARGE (HALF TRAY 2.5kg),14,1,200.00
,,,,Total Sales: ,,,,200.00

203452,20026*14885,PRE*BT*382880,2026-06-05,250.00,43.48,6.52,300.00,
,,,Line No,Supplier Ref,Commodity,Delivered,Sold,Sales Total
,,,01,20026*14885,PEARS PACKHAMS CLASS 1 MEDIUM STANDARD CARTON 12.5kg,2,2,100.00
,,,02,20026*14886,PEACHES CLASS 1 MEDIUM STANDARD TRAY 5kg,2,2,100.00
,,,03,20026*14887,STRAWBERRIES CLASS 1 PUNNET 250g,5,5,100.00
,,,,Total Sales: ,,,,300.00

203453,20026*14891,PRE*BT*382885,2026-06-06,3060.00,469.57,70.43,3600.00,
,,,Line No,Supplier Ref,Commodity,Delivered,Sold,Sales Total
,,,01,20026*14891,GRAPEFRUIT STAR RUBY CLASS 1 MEDIUM STANDARD CARTON 15kg,60,40,3600.00
,,,,Total Sales: ,,,,3600.00

,GRAND TOTAL,,,,,,,
