FMS ID,Supplier Ref,Acc Sales Number,Date,Nett Payment,Total Deductions,Deduction VAT,Gross Payments,Payment Ref
Market,ALL,,Agent,ALL

TSHWANE MARKET,Farmers Trust (Pre)

204101,20026*14930,PRE*BT*390100,2026-07-10,2040.00,313.04,46.96,2400.00,EFT
,,,Line No,Supplier Ref,Commodity,Delivered,Sold,Sales Total
,,,01,20026*14930,LEMONS EUREKA CLASS 1 MEDIUM STANDARD CARTON 15kg,80,30,1200.00
,,,02,20026*00000,MANGOES TOMMY ATKINS CLASS 1 LARGE STANDARD TRAY 4kg,50,20,1200.00
,,,,Total Sales: ,,,,2400.00

204102,20026*14930,PRE*BT*390110,2026-07-13,2401.25,368.48,55.27,2825.00,EFT
,,,Line No,Supplier Ref,Commodity,Delivered,Sold,Sales Total
,,,01,20026*14930,LEMONS EUREKA CLASS 1 MEDIUM STANDARD CARTON 15kg,80,20,900.00
,,,02,20026*30055,PINEAPPLES QUEEN CLASS 1 MEDIUM CARTON 10kg,40,35,1925.00
,,,,Total Sales: ,,,,2825.00

JOBURG MKT - TFRESH,Subtropico (Jhb)

204103,30055*14940,JOH*SUB*5700100/1,2026-07-14,2380.00,365.22,54.78,2800.00,EFT
,,,Line No,Supplier Ref,Commodity,Delivered,Sold,Sales Total
,,,01,30055*14940,BANANAS CLASS 1 STANDARD CARTON 18kg,60,40,2800.00
,,,,Total Sales: ,,,,2800.00
